發車時間,車種與列車名,目的地
6:11,普通,福知山行
6:50,普通,福知山行
7:06,普通,豊岡行
7:13,特急はまかぜ2号（播但線経由・全車指定席）,大阪行
7:42,普通,福知山行
7:57,普通,豊岡行
8:58,普通,豊岡行
9:33,特急こうのとり12号（福知山線経由・全車指定席）,新大阪行
9:53,普通,豊岡行
10:34,特急きのさき12号（全車指定席）,京都行
11:33,特急こうのとり14号（福知山線経由・全車指定席）,新大阪行
11:40,普通,福知山行
12:31,特急きのさき16号（全車指定席）,京都行
13:05,普通,豊岡行
13:29,特急こうのとり18号（福知山線経由・全車指定席）,新大阪行
14:14,特急はまかぜ4号（播但線経由・全車指定席）,大阪行
14:35,特急きのさき18号（全車指定席）,京都行
14:42,普通,福知山行
15:30,特急こうのとり22号（福知山線経由・全車指定席）,新大阪行
15:36,普通,豊岡行
16:20,普通,豊岡行
16:31,特急きのさき20号（全車指定席）,京都行
17:02,普通,豊岡行
17:17,特急はまかぜ6号（播但線経由・全車指定席）,大阪行
18:21,普通,豊岡行
18:53,特急こうのとり28号（福知山線経由・全車指定席）,新大阪行
19:42,普通,豊岡行
21:33,普通,豊岡行
